datetime,open,high,low,close,volume
2026-04-28 09:15,1358.9,1369.7,1357.1,1362.9,0
2026-04-28 10:15,1362.6,1387.7,1362.3,1386.5,4380735
2026-04-28 11:15,1386.6,1386.6,1372.7,1383.3,3548335
2026-04-28 12:15,1383.2,1383.3,1374.2,1379.1,4125647
2026-04-28 13:15,1379.1,1386.5,1378.6,1380.6,3990005
2026-04-28 14:15,1380.3,1393.7,1379.6,1387.0,13490822
2026-04-28 15:15,1387.0,1394.0,1386.0,1394.0,3467851
2026-04-29 09:15,1392.0,1412.2,1392.0,1411.6,0
2026-04-29 10:15,1411.7,1427.6,1410.4,1423.2,4440384
2026-04-29 11:15,1423.1,1423.2,1417.6,1420.9,2797421
2026-04-29 12:15,1420.9,1422.4,1413.5,1417.5,3176033
2026-04-29 13:15,1417.5,1419.3,1411.5,1415.3,4734466
2026-04-29 14:15,1415.3,1425.3,1414.1,1425.1,4708897
2026-04-29 15:15,1425.1,1432.3,1424.1,1430.1,5338395
2026-04-30 09:15,1412.8,1415.7,1398.4,1398.6,0
2026-04-30 10:15,1398.6,1400.3,1393.1,1400.2,2599498
2026-04-30 11:15,1400.2,1412.7,1399.7,1411.6,7715679
2026-04-30 12:15,1411.7,1421.5,1410.3,1420.5,2838960
2026-04-30 13:15,1420.5,1429.6,1418.1,1425.9,3479728
2026-04-30 14:15,1425.7,1435.5,1425.2,1431.2,8122497
2026-04-30 15:15,1431.2,1436.3,1430.0,1436.0,2007440
2026-05-04 09:15,1433.7,1446.4,1433.7,1437.0,0
2026-05-04 10:15,1437.2,1449.0,1437.2,1448.5,3003681
2026-05-04 11:15,1448.1,1452.7,1446.5,1446.8,2533217
2026-05-04 12:15,1447.0,1464.0,1446.7,1460.1,5203449
2026-05-04 13:15,1460.1,1463.0,1454.7,1461.1,3813254
2026-05-04 14:15,1461.4,1463.5,1457.8,1461.1,4291778
2026-05-04 15:15,1461.4,1467.2,1461.1,1467.0,2342586
2026-05-05 09:15,1457.0,1473.1,1457.0,1465.7,0
2026-05-05 10:15,1465.7,1465.9,1451.0,1452.3,3165806
2026-05-05 11:15,1452.9,1460.7,1450.0,1460.1,2640116
2026-05-05 12:15,1460.2,1467.2,1458.1,1466.0,3540063
2026-05-05 13:15,1465.9,1466.8,1458.4,1460.4,3772013
2026-05-05 14:15,1460.4,1464.9,1459.1,1464.4,5313242
2026-05-05 15:15,1464.5,1467.1,1460.3,1463.0,1180169
2026-05-06 09:15,1466.6,1473.1,1453.0,1455.5,0
2026-05-06 10:15,1455.3,1456.1,1444.3,1447.3,1368952
2026-05-06 11:15,1448.0,1450.4,1445.1,1446.0,769031
2026-05-06 12:15,1446.3,1446.4,1427.5,1433.0,1401287
2026-05-06 13:15,1433.0,1437.2,1431.3,1436.8,1990784
2026-05-06 14:15,1436.8,1450.9,1436.0,1438.2,4790216
2026-05-06 15:15,1438.2,1439.8,1435.7,1438.7,1613377
2026-05-07 09:15,1442.0,1445.8,1430.5,1438.5,0
2026-05-07 10:15,1438.5,1443.8,1433.7,1435.3,1535340
2026-05-07 11:15,1435.3,1442.5,1433.4,1441.8,1320899
2026-05-07 12:15,1442.4,1449.5,1439.0,1442.0,2290872
2026-05-07 13:15,1441.9,1443.2,1437.2,1439.8,1520811
2026-05-07 14:15,1439.6,1444.2,1431.0,1434.5,9457903
2026-05-07 15:15,1434.6,1437.0,1433.5,1435.5,1177230
2026-05-08 09:15,1428.0,1428.9,1418.0,1428.5,0
2026-05-08 10:15,1428.4,1433.0,1426.1,1429.2,968795
2026-05-08 11:15,1429.2,1429.7,1422.4,1423.9,667775
2026-05-08 12:15,1424.0,1426.8,1421.7,1422.7,868922
2026-05-08 13:15,1422.7,1427.5,1422.3,1426.0,1096173
2026-05-08 14:15,1426.0,1442.8,1425.6,1434.6,2210063
2026-05-08 15:15,1434.6,1437.4,1434.4,1436.0,798655
2026-05-11 09:15,1424.7,1426.0,1415.0,1420.2,0
2026-05-11 10:15,1420.2,1420.4,1414.2,1418.7,1199603
2026-05-11 11:15,1418.7,1419.4,1410.4,1411.0,1350366
2026-05-11 12:15,1411.0,1412.0,1399.3,1401.9,2687022
2026-05-11 13:15,1401.9,1403.5,1397.2,1397.5,1799860
2026-05-11 14:15,1397.8,1400.5,1387.4,1387.8,3446147
2026-05-11 15:15,1387.7,1389.0,1382.6,1385.0,2494661
2026-05-12 09:15,1392.0,1392.3,1377.5,1380.3,0
2026-05-12 10:15,1380.3,1386.5,1380.1,1386.0,2005145
2026-05-12 11:15,1386.4,1393.4,1380.8,1383.0,2269230
2026-05-12 12:15,1382.5,1384.0,1376.4,1378.3,2301506
2026-05-12 13:15,1378.3,1380.3,1370.8,1373.0,3189021
2026-05-12 14:15,1373.0,1374.5,1360.5,1361.4,8505668
2026-05-12 15:15,1361.7,1367.0,1360.3,1366.9,1561251
2026-05-13 09:15,1363.3,1372.3,1352.7,1356.9,0
2026-05-13 10:15,1357.0,1360.0,1353.0,1355.3,1584911
2026-05-13 11:15,1355.3,1363.8,1353.0,1360.2,1454236
2026-05-13 12:15,1360.2,1370.0,1358.1,1366.1,2044655
2026-05-13 13:15,1366.1,1368.0,1362.6,1365.0,1407582
2026-05-13 14:15,1365.1,1366.4,1356.9,1358.6,3514122
2026-05-13 15:15,1358.7,1362.0,1357.9,1361.2,1349137
2026-05-14 09:15,1368.7,1369.5,1358.5,1361.9,0
2026-05-14 10:15,1361.8,1366.0,1359.3,1362.2,1433331
2026-05-14 11:15,1362.4,1377.8,1362.4,1369.6,2767075
2026-05-14 12:15,1369.6,1376.2,1367.6,1368.3,2198195
2026-05-14 13:15,1368.6,1371.1,1365.6,1366.3,3005975
2026-05-14 14:15,1366.4,1367.3,1358.6,1362.6,5009222
2026-05-14 15:15,1362.8,1368.6,1360.9,1368.6,1217318
2026-05-15 09:15,1361.8,1361.8,1341.0,1345.1,0
2026-05-15 10:15,1345.1,1345.3,1336.3,1339.3,1851363
2026-05-15 11:15,1339.6,1340.5,1335.0,1335.6,1486438
2026-05-15 12:15,1335.5,1338.3,1334.5,1336.0,3871536
2026-05-15 13:15,1335.9,1337.4,1332.6,1336.0,3734412
2026-05-15 14:15,1336.2,1337.9,1329.4,1337.3,3234177
2026-05-15 15:15,1337.3,1340.0,1336.0,1339.0,1072862
2026-05-18 09:15,1333.0,1333.7,1319.1,1322.9,0
