datetime,open,high,low,close,volume
2026-04-28 09:15,4505.0,4532.4,4482.8,4510.6,0
2026-04-28 10:15,4507.0,4546.1,4500.8,4545.9,25723
2026-04-28 11:15,4544.0,4578.0,4536.8,4570.1,54269
2026-04-28 12:15,4572.5,4598.8,4555.1,4591.7,158073
2026-04-28 13:15,4591.7,4594.2,4569.2,4570.9,57440
2026-04-28 14:15,4571.9,4574.0,4536.3,4537.1,62296
2026-04-28 15:15,4538.2,4548.0,4536.0,4548.0,52673
2026-04-29 09:15,4560.0,4604.5,4560.0,4591.9,0
2026-04-29 10:15,4592.0,4608.0,4589.5,4603.0,29025
2026-04-29 11:15,4606.7,4619.0,4600.0,4615.0,29104
2026-04-29 12:15,4615.0,4631.8,4611.1,4630.0,32168
2026-04-29 13:15,4629.1,4639.5,4620.0,4624.1,40391
2026-04-29 14:15,4624.1,4626.5,4589.6,4595.0,77611
2026-04-29 15:15,4593.4,4600.0,4581.1,4592.0,36502
2026-04-30 09:15,4580.0,4580.0,4513.9,4524.8,0
2026-04-30 10:15,4526.0,4545.4,4511.0,4514.0,27581
2026-04-30 11:15,4513.6,4532.0,4512.4,4530.8,15606
2026-04-30 12:15,4533.6,4548.9,4526.9,4540.8,44731
2026-04-30 13:15,4540.7,4585.7,4538.8,4578.0,157890
2026-04-30 14:15,4578.0,4613.9,4557.0,4577.7,152755
2026-04-30 15:15,4577.7,4615.0,4577.7,4585.9,65266
2026-05-04 09:15,4505.9,4505.9,4390.0,4392.8,0
2026-05-04 10:15,4387.0,4461.6,4385.1,4440.7,198493
2026-05-04 11:15,4440.1,4445.0,4351.7,4361.0,192921
2026-05-04 12:15,4362.0,4407.5,4359.2,4381.8,128389
2026-05-04 13:15,4381.8,4384.3,4361.6,4373.0,88138
2026-05-04 14:15,4373.3,4382.5,4360.6,4377.0,183701
2026-05-04 15:15,4377.9,4387.4,4365.0,4365.8,120759
2026-05-05 09:15,4379.4,4380.6,4318.0,4318.0,0
2026-05-05 10:15,4318.3,4329.8,4303.3,4329.6,45407
2026-05-05 11:15,4329.5,4364.0,4328.7,4354.0,41533
2026-05-05 12:15,4354.8,4379.0,4353.0,4370.0,31984
2026-05-05 13:15,4370.0,4385.9,4352.8,4359.0,48721
2026-05-05 14:15,4357.2,4371.9,4355.7,4363.0,33804
