datetime,open,high,low,close,volume
2026-04-28 09:15,2790.0,2838.6,2790.0,2824.4,0
2026-04-28 10:15,2823.1,2846.3,2815.7,2833.0,254217
2026-04-28 11:15,2832.8,2832.8,2815.9,2827.5,199988
2026-04-28 12:15,2828.0,2830.0,2816.0,2816.0,180189
2026-04-28 13:15,2817.3,2817.5,2793.4,2796.8,190839
2026-04-28 14:15,2796.3,2799.0,2782.2,2783.1,205298
2026-04-28 15:15,2784.1,2784.2,2772.2,2783.0,98156
2026-04-29 09:15,2793.2,2807.6,2778.0,2807.6,0
2026-04-29 10:15,2807.6,2816.7,2806.1,2815.7,142854
2026-04-29 11:15,2816.0,2832.8,2814.1,2831.9,157213
2026-04-29 12:15,2832.0,2838.6,2817.7,2820.0,261036
2026-04-29 13:15,2820.3,2821.4,2798.5,2799.3,118311
2026-04-29 14:15,2800.0,2814.5,2796.5,2801.8,159701
2026-04-29 15:15,2801.7,2803.8,2797.0,2803.2,58418
2026-04-30 09:15,2758.0,2768.4,2746.0,2749.0,0
2026-04-30 10:15,2746.1,2766.5,2746.0,2760.6,76397
2026-04-30 11:15,2759.9,2762.8,2741.1,2758.2,148940
2026-04-30 12:15,2758.2,2779.2,2756.1,2773.5,358434
2026-04-30 13:15,2773.5,2792.8,2770.1,2788.9,144237
2026-04-30 14:15,2789.0,2801.3,2782.8,2799.2,202149
2026-04-30 15:15,2796.3,2800.4,2787.1,2787.1,128304
2026-05-04 09:15,2819.8,2834.0,2814.7,2825.4,0
2026-05-04 10:15,2825.5,2853.0,2823.0,2841.7,127969
2026-05-04 11:15,2841.0,2857.8,2839.6,2841.0,115411
2026-05-04 12:15,2841.4,2850.5,2833.0,2844.3,117467
2026-05-04 13:15,2844.3,2853.7,2826.7,2848.9,147129
2026-05-04 14:15,2849.5,2865.4,2846.6,2859.0,252610
2026-05-04 15:15,2859.3,2861.9,2844.3,2850.0,111011
2026-05-05 09:15,2840.9,2859.8,2827.4,2850.3,0
2026-05-05 10:15,2850.1,2857.3,2844.9,2847.3,85806
2026-05-05 11:15,2846.0,2847.6,2830.5,2845.2,97366
2026-05-05 12:15,2845.9,2877.4,2842.4,2874.7,152695
2026-05-05 13:15,2874.8,2878.0,2865.1,2869.4,193641
2026-05-05 14:15,2870.0,2879.7,2864.4,2875.3,238463
2026-05-05 15:15,2875.5,2875.9,2863.7,2871.5,79332
2026-05-06 09:15,2890.7,2902.9,2880.2,2885.8,0
2026-05-06 10:15,2884.9,2888.5,2880.1,2884.1,13458
2026-05-06 11:15,2884.1,2890.0,2877.0,2889.9,18059
2026-05-06 12:15,2889.9,2890.0,2872.6,2882.1,18039
